City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
224,Tiksi,RU,71.6872,128.8694,-18.74,99,100,5.37,overcast clouds
225,Kavaratti,IN,10.5669,72.642,83.57,76,95,10.42,overcast clouds
226,Port Lincoln,AU,-34.7333,135.8667,58.14,69,100,21.65,light rain
227,Koné,NC,-21.0595,164.8658,73.18,71,97,7.7,overcast clouds
228,Polyarny,RU,69.1989,33.4478,10.27,86,96,19.13,overcast clouds
229,Thinadhoo,MV,0.5333,72.9333,81.09,81,100,7.02,overcast clouds
230,Soyo,AO,-6.1349,12.3689,81.88,73,71,8.63,broken clouds
231,Wailua Homesteads,US,22.0669,-159.378,70.23,89,100,4.61,overcast clouds
232,Enewetak,MH,11.3474,162.3373,81.37,76,78,16.62,broken clouds
233,Zarqa,JO,32.0728,36.088,57.11,58,75,5.75,haze
234,Klaeng,TH,12.7797,101.6483,79.95,85,1,1.3,clear sky
235,Galashiels,GB,55.6146,-2.807,44.69,97,100,2.84,light rain
236,Kavak,TR,41.0783,36.0425,53.89,86,100,1.97,overcast clouds
237,Broome,US,42.2506,-75.833,52.02,76,100,6.91,overcast clouds
238,Shingū,JP,33.7333,135.9833,54.14,87,90,4.76,overcast clouds
239,Chulym,RU,55.0997,80.9572,-13.25,92,100,7.63,overcast clouds
240,Lhokseumawe,ID,5.1801,97.1507,79.09,87,86,3.24,overcast clouds
241,San Patricio,US,28.017,-97.5169,77.72,72,100,10.04,overcast clouds
242,Sabana Iglesia,DO,19.3211,-70.7599,82.35,78,40,8.05,scattered clouds
243,Arnö,SE,60.1167,18.6333,29.79,97,100,13.27,light snow
244,Troy,US,42.6056,-83.1499,57.81,85,100,9.22,overcast clouds
245,Phalodi,IN,27.1333,72.3667,67.03,23,0,4.16,clear sky
246,Olonkinbyen,SJ,70.9221,-8.7187,25.16,84,100,15.21,light snow
247,Arrondissement de Rochefort,FR,45.9167,-1.0,57.25,97,100,10.0,overcast clouds
248,Xiongzhou,CN,25.1167,114.3,67.91,87,82,1.32,broken clouds
249,Miyaly,KZ,48.8844,53.7836,15.93,64,76,13.94,broken clouds
250,Tamanghasset,DZ,22.785,5.5228,73.31,9,0,17.27,clear sky
251,Buala,SB,-8.145,159.5921,79.79,86,99,6.82,moderate rain
252,Carnarvon,AU,-24.8667,113.6333,84.45,25,2,30.04,clear sky
253,Kwang Binh,VN,17.4833,106.6,73.33,94,99,6.29,overcast clouds
254,Al Jawf,SA,29.5,38.75,63.55,40,100,8.97,overcast clouds
255,Kirensk,RU,57.7853,108.1119,-36.04,99,96,1.99,overcast clouds
256,Burang,CN,30.25,81.1667,6.73,83,21,4.36,few clouds
257,Dessie,ET,11.1333,39.6333,54.48,66,76,4.03,broken clouds
258,Killarney,IE,52.05,-9.5167,50.05,71,20,16.11,few clouds
259,San Antonio de Palé,GQ,-1.4014,5.6325,81.77,77,23,11.25,few clouds
260,Greenville,US,35.6127,-77.3663,70.14,59,0,10.36,clear sky
261,Alice Springs,AU,-23.7,133.8833,65.75,82,100,9.22,overcast clouds
262,Lihue,US,21.9789,-159.3672,70.84,89,100,4.61,overcast clouds
263,Turan,VN,16.0678,108.2208,75.18,88,20,2.3,few clouds
264,San Jose,US,37.3394,-121.895,53.1,54,75,14.0,broken clouds
265,Eirunepé,BR,-6.6603,-69.8736,91.99,51,81,3.2,broken clouds
266,Anna Regina,GY,7.2644,-58.5077,81.01,82,38,8.37,scattered clouds
267,Kisangani,CD,0.5167,25.2,78.28,77,74,2.06,light rain
268,Cabedelo,BR,-6.9811,-34.8339,86.67,61,71,13.06,broken clouds
269,Bilokurakyne,UA,49.5341,38.7307,27.99,95,100,13.02,light snow
270,Hojāi,IN,26.0,92.8667,63.84,94,37,1.72,scattered clouds
271,Sinaloa de Leyva,MX,25.8333,-108.2333,80.58,29,0,0.58,clear sky
272,Cape Canaveral,US,28.4058,-80.6048,82.02,73,0,13.8,clear sky
273,Calvinia,ZA,-31.4707,19.776,68.14,37,46,13.87,scattered clouds
274,Soe,ID,-9.8607,124.284,69.22,93,100,1.23,overcast clouds
275,Puerto Rico,AR,-26.796,-55.024,92.41,43,1,2.66,clear sky
276,Władysławowo,PL,54.7909,18.4009,32.94,91,100,9.44,overcast clouds
277,Picota,PE,-6.9197,-76.3304,84.69,42,90,0.47,overcast clouds
278,Balabac,PH,7.9868,117.0645,82.15,80,56,12.39,broken clouds
279,Beau Vallon,MU,-20.4189,57.6953,81.21,83,40,5.75,light rain
280,Al Maţarīyah,EG,31.1829,32.0311,66.15,51,48,2.08,scattered clouds
281,Kyshtovka,RU,56.555,76.6271,-12.55,98,100,6.11,overcast clouds
282,Vilyuchinsk,RU,52.9306,158.4028,24.93,92,100,3.65,light snow
283,Geraldton,AU,-28.7667,114.6,68.41,21,0,8.05,clear sky
284,Luanda,AO,-8.8368,13.2343,84.2,77,75,11.5,broken clouds
285,La Passe,FR,45.5549,-0.8967,59.23,82,100,25.64,overcast clouds
286,Okhotsk,RU,59.3833,143.3,20.53,96,100,8.77,snow
287,Porto Velho,BR,-8.7619,-63.9039,87.85,70,40,2.3,scattered clouds
288,Haiku-Pauwela,US,20.9219,-156.3051,72.05,77,0,6.91,clear sky
289,Tromsø,NO,69.6496,18.957,24.82,58,0,19.57,clear sky
290,Vorgashor,RU,67.5833,63.95,-11.38,99,100,4.25,overcast clouds
291,Fortuna,US,40.5982,-124.1573,38.32,100,0,9.22,clear sky
292,Hirara,JP,24.8,125.2833,71.87,88,20,5.75,few clouds
293,Porbandar,IN,21.6422,69.6093,73.99,47,0,13.82,clear sky
294,Quelimane,MZ,-17.8786,36.8883,85.95,79,0,16.11,clear sky
295,Rio Grande,BR,-32.035,-52.0986,73.51,58,13,14.88,few clouds
296,Grand Falls-Windsor,CA,48.9332,-55.6649,39.51,79,66,3.0,broken clouds
297,Swakopmund,,-22.6833,14.5333,72.45,80,78,5.01,broken clouds
298,Tralee,IE,52.2704,-9.7026,50.25,71,20,16.11,few clouds
